País,Parkinson_Predicho_Promedio,Parkinson_Real,Error_Absoluto
Botswana,27.67,35.74,8.07
Lesotho,27.24,29.15,1.9100000000000001
Namibia,27.85,32.89,5.039999999999999
South Africa,39.78,48.91,9.129999999999995
Eswatini,22.97,27.19,4.220000000000002
Benin,22.94,23.12,0.17999999999999972
Burkina Faso,24.65,23.68,-0.9699999999999989
Cape Verde,50.68,61.47,10.79
Cameroon,24.03,24.67,0.6400000000000006
Chad,18.76,17.26,-1.5
Cote d'Ivoire,21.58,24.12,2.5400000000000027
Gambia,24.53,26.59,2.0599999999999987
Ghana,23.77,26.83,3.0599999999999987
Guinea,29.11,25.45,-3.66
Guinea-Bissau,19.22,19.04,-0.17999999999999972
Liberia,25.13,21.78,-3.349999999999998
Mali,20.62,18.89,-1.7300000000000004
Mauritania,30.6,31.13,0.5299999999999976
Niger,16.23,16.29,0.05999999999999872
Nigeria,25.51,25.02,-0.490000000000002
Sao Tome and Principe,34.48,36.58,2.1000000000000014
Senegal,28.65,32.42,3.770000000000003
Sierra Leone,23.39,23.91,0.5199999999999996
Togo,21.55,24.02,2.469999999999999
Cook Islands,99.6,153.09,53.49000000000001
Greenland,83.49,123.93,40.44000000000001
Sudan,30.14,34.84,4.700000000000003
