País,Contaminacion_aire,Exp_plomo,Muertes_agua,Pepticidas,Precipitaciones
Seychelles,0.5623927,225.05032,2.5156372,16582.0,1202.271
Somalia,2.6376116,1196.0887,12943.958,39147.0,1694.6115
Uganda,2.6843226,476.45813,6584.1147,6118.71,1056.1262
Tanzania,1.3216771,388.64062,13097.002,26.19,1854.0664
Botswana,2.4445958,493.78125,475.11423,13.21,1107.8752
Lesotho,5.375629,1043.5192,1006.8008,76892.28,186.61212
Namibia,4.249396,550.30804,542.85254,324.46,600.6993
South Africa,2.0596907,331.90683,9139.857,1409.15,242.51434
Eswatini,3.3228204,746.60596,277.45337,356589.16,147.84029
Benin,3.5340676,480.8534,3195.6445,24.51,1869.461
Burkina Faso,2.0778573,838.266,8883.928,480.55,1281.4471
Cape Verde,1.0140328,374.06363,34.1964,569.33,916.582
Cameroon,3.329984,680.20734,5482.964,0.5,85.95517
Chad,3.358661,994.483,20310.44,232498.1,921.82556
Cote d'Ivoire,2.4155564,619.327,4296.479,3656.65,1045.98
Gambia,2.725313,807.5773,359.5643,7345.7,1435.2982
Ghana,1.8392293,456.96262,4317.2427,8.16,1131.8893
Guinea,2.9154692,814.5802,3264.181,45.0,488.86746
Guinea-Bissau,3.2800007,1048.2961,440.0324,11178.0,1142.9324
Liberia,2.1070154,748.7032,1306.7832,91.33,1667.258
Mali,4.316673,703.67,6532.8403,1358.55,281.71265
Mauritania,1.3710803,436.50876,525.8403,19.74,1316.5365
Niger,3.2814448,811.7352,12630.462,431294.66,1663.1587
Nigeria,2.7397451,351.1755,98102.15,46856.06,1622.5159
Sao Tome and Principe,4.415653,480.3394,10.550467,48.92,1524.9801
Senegal,2.158583,525.7525,1924.2212,18153.55,3674.5164
Sierra Leone,2.022849,681.09,2544.8188,118155.13,1525.9907
Togo,4.0861135,629.9448,2289.433,534.56,540.1039
Cook Islands,0.58814925,131.94354,0.36435965,98.37,1205.8376
Greenland,1.5601676,106.91559,0.048418853,404.35,355.4029
Sudan,2.822252,1209.9124,1413.7561,18849.0,1874.6235
