País,GLM,RF,XG,SVR,KNN,MLP,Parkinson_Predicho_Promedio
Mongolia,37.31964581227706,36.7092989109999,35.80497741699219,29.805702372539237,29.29974686893989,38.90594100209914,34.640885397307905
Sri Lanka,106.93528587951754,99.00995352899892,99.93009185791016,65.19709523407906,67.45003364264248,118.12777826217014,92.77503973421972
Tajikistan,43.15713891131697,42.746658069000404,41.90815353393555,38.68359293261013,37.21772232120763,43.898547520844375,41.26863554815251
East Timor,41.55183758496657,39.3950455450001,40.60683822631836,28.68175809544795,23.833870572766006,53.176926228646764,37.87437937552429
Turkmenistan,43.94997117544426,43.491527730000385,43.34443283081055,32.09944382730816,30.831809677743617,47.730761546057444,40.24132446456073
Armenia,92.5432487657853,93.98317018199967,111.51840209960938,77.5395061045319,73.04198794391245,100.13137658747972,91.45961528055307
Fiji,76.926498224319,55.77544948999998,57.28599548339844,44.09703757800886,45.200341890369074,72.25436103254981,58.58994728310753
Albania,158.71860403616398,150.41732118800041,152.89610290527344,89.37470883964471,82.98425947726622,166.5420793724087,133.4888459697929
Czechia,209.22521290330658,201.93550533,202.19749450683594,151.4542798301202,143.09705776621914,208.9803108008742,186.14831018955934
Hungary,214.8495320722526,178.4120982000017,183.83657836914062,141.15979762270948,138.13547094303487,188.71101751360465,174.1840824534573
Montenegro,179.6816716310099,150.5771083080009,152.5282745361328,124.34769499008165,135.55624441011315,172.44294823759478,152.52232368548886
North Macedonia,150.75794454657702,142.848073200999,141.75186157226562,108.40039515361721,116.8409508769154,154.93545982081193,135.92244752853102
Bulgaria,187.78762227594532,213.6736535899974,211.79483032226562,219.3215001494694,247.29981107765892,226.62339211027475,217.75013492093524
Croatia,236.34683344518618,218.62779743599847,220.1587677001953,166.77322762383574,183.46570202304792,251.70841015832562,212.8467897310982
Romania,184.00175773876387,167.11845785899993,177.2187957763672,126.85152313915941,135.41167317583876,197.98251056179504,164.76411970848739
Bosnia and Herzegovina,220.0856269154165,176.96700248999903,167.22027587890625,126.23649021613798,141.67429081471101,210.5972189282295,173.7968175405667
Serbia,205.34154613116735,174.8222899649988,183.83775329589844,126.71200021372258,132.44581876094318,186.94843980080424,168.35130802792244
Belarus,180.24138960651533,175.22405263999983,176.3151397705078,147.37263235895918,136.0671004754309,180.83928779235882,166.009933773962
Estonia,230.04982020742725,223.9291505299998,219.94476318359375,189.80370748100296,167.88157287578312,238.1743640626043,211.6305630567352
Latvia,235.26813870519734,213.25305086000225,211.76455688476562,163.09896287063862,152.5490560565334,231.46435315501944,201.23301975535944
Poland,204.20115937312084,193.8908628179984,186.35220336914062,141.34163201850095,129.75700758167144,202.80018871982,176.39050898004203
Moldova,129.36132274696115,126.27536598199991,129.29490661621094,100.9883234018219,101.2229803420574,131.8092209539661,119.8253533405029
Russia,154.18998421026453,143.85763865500053,140.32289123535156,117.76654579659863,112.95746790423661,144.15618126514943,135.54178484443355
Slovakia,159.92117505937767,139.06648935000007,145.2761688232422,114.30344434727756,99.34451378080901,158.18152487586494,136.01555270609526
Slovenia,230.31361537659038,211.64128607000083,225.54835510253906,167.49021185177375,152.4729242411316,226.420647287532,202.31450665492795
Andorra,271.5660794075051,237.19482689999802,233.40609741210938,180.55187385285976,187.51743561710998,248.32392464098163,226.42670630509397
Australia,130.31231459893377,130.54190108999995,155.4220428466797,115.24619548007193,115.20517541804384,142.16973303807566,131.4828937453008
