País,GLM,RF,XG,SVR,KNN,MLP,CV
Gambia,27.19,23.09,20.57,23.09,24.22,29.0,12.5
Ghana,27.76,20.77,22.98,22.39,20.46,28.28,14.42
Guinea,26.23,30.01,30.01,30.25,30.75,27.42,6.29
Guinea-Bissau,19.29,19.05,19.31,19.05,18.69,19.95,2.19
Liberia,21.17,26.79,28.24,25.19,26.2,23.21,10.21
Mali,22.9,19.92,19.87,19.8,20.05,21.21,5.98
Mauritania,32.47,26.98,25.95,28.73,27.08,42.42,20.34
Niger,17.05,15.85,15.26,15.98,15.58,17.66,5.71
Nigeria,27.45,24.46,24.26,24.87,25.37,26.64,5.0
Sao Tome and Principe,37.37,32.98,32.89,33.0,32.01,38.66,8.09
Senegal,33.38,24.52,28.05,27.8,24.74,33.42,13.83
Sierra Leone,24.26,22.89,21.95,24.11,22.36,24.75,4.88
Togo,24.98,20.08,21.04,19.29,18.19,25.7,14.35
Cook Islands,159.0,59.06,62.48,93.22,63.9,159.96,48.17
Greenland,130.81,53.52,64.91,69.22,51.44,131.04,44.73
Sudan,33.32,27.83,28.88,29.25,27.63,33.92,9.2
