País,GLM,RF,XG,SVR,KNN,MLP,Desviacion
Brunei,62.18,30.12,25.56,38.48,32.87,62.77,16.41
Cyprus,247.05,133.4,133.67,169.56,145.59,243.72,53.21
Denmark,314.91,181.96,180.99,188.08,168.23,308.88,68.54
Ireland,279.58,160.82,153.59,167.33,192.19,277.66,58.34
Israel,267.58,186.85,182.7,208.64,187.18,265.73,39.94
Italy,295.32,307.22,297.85,308.68,313.61,301.17,7.01
Japan,174.21,128.8,150.26,125.29,102.66,179.68,30.04
Lithuania,209.0,139.21,128.56,157.23,131.39,213.79,38.68
Luxembourg,271.77,210.96,208.92,218.39,221.89,268.74,28.92
New Zealand,117.78,86.83,81.32,88.35,84.52,20202.25,8210.08
South Korea,151.21,36.28,35.47,74.85,56.2,159.52,56.03
Ukraine,175.41,145.71,134.37,152.58,144.31,183.08,19.14
Finland,380.78,210.93,196.58,234.27,183.67,372.58,89.58
France,357.49,202.93,187.01,252.67,216.32,358.42,77.07
Germany,509.92,319.17,276.95,307.48,383.15,600.32,128.63
Greece,366.51,253.74,287.1,254.66,277.58,425.95,69.91
Iceland,293.86,205.29,206.25,211.01,178.05,287.8,48.27
Netherlands,406.59,278.73,280.34,283.54,267.75,7712.98,3025.4
Norway,194.86,104.04,99.05,100.14,117.62,208.2,50.35
Portugal,295.57,185.96,159.09,184.05,187.42,288.12,59.18
Spain,390.46,320.93,330.56,336.0,354.29,432.42,42.83
Sweden,288.22,209.26,196.47,209.15,202.89,277.76,40.97
Switzerland,321.06,234.64,227.54,249.24,231.03,332.03,47.66
Antigua and Barbuda,94.45,59.18,54.96,63.67,59.92,97.2,19.02
Argentina,149.5,105.61,92.65,113.1,108.34,144.52,22.82
Bahamas,79.05,42.11,39.21,51.71,43.25,80.47,18.9
Belize,52.0,33.0,30.33,36.08,32.73,49.1,9.27
Canada,410.34,253.85,246.58,268.68,276.48,410.91,77.78
Chile,172.31,67.35,60.91,97.85,68.1,174.06,53.02
Cuba,117.77,72.13,80.74,77.1,60.04,112.11,23.07
United Kingdom,290.6,251.0,250.09,255.11,253.52,299.79,22.35
United States,221.58,142.41,143.61,157.68,150.61,213.24,36.06
Uruguay,202.67,130.1,122.67,149.54,123.9,207.38,39.17
