País,Variable_Independiente,Valor_Variable,Parkinson_Predicho
Bulgaria,Muertes_agua,34.4442,
Bulgaria,Pepticidas,207.1,
Bulgaria,Precipitaciones,158.60748,
Bulgaria,Muertes_agua_2,1186.4029136400002,
Bulgaria,Exp_plomo_2,244415.24282569,
Bulgaria,Pepticidas_log,10.282163685554078,
Croatia,Contaminacion_aire,2.1619835,
Croatia,Exp_plomo,166.19066,
Croatia,Muertes_agua,18.283289,
Croatia,Pepticidas,745.22,
Croatia,Precipitaciones,521.9873,
Croatia,Muertes_agua_2,334.27865665752097,
Croatia,Exp_plomo_2,27619.3354712356,
Croatia,Pepticidas_log,10.380838188807413,
Romania,Contaminacion_aire,0.31173155,
Romania,Exp_plomo,279.2089,
Romania,Muertes_agua,161.72968,
Romania,Pepticidas,415.67,
Romania,Precipitaciones,155.74265,
Romania,Muertes_agua_2,26156.4893929024,
Romania,Exp_plomo_2,77957.60983921001,
Romania,Pepticidas_log,10.470644548237175,
Bosnia and Herzegovina,Contaminacion_aire,1.5376102,
Bosnia and Herzegovina,Exp_plomo,329.20108,
Bosnia and Herzegovina,Muertes_agua,9.076801,
Bosnia and Herzegovina,Pepticidas,102139.37,
Bosnia and Herzegovina,Precipitaciones,1073.2523,
Bosnia and Herzegovina,Muertes_agua_2,82.38831639360099,
Bosnia and Herzegovina,Exp_plomo_2,108373.3510731664,
Bosnia and Herzegovina,Pepticidas_log,12.431743480570804,
Serbia,Contaminacion_aire,0.65176404,
Serbia,Exp_plomo,272.4166,
Serbia,Muertes_agua,20.257597,
Serbia,Pepticidas,58.2,
Serbia,Precipitaciones,326.00586,
Serbia,Muertes_agua_2,410.37023621440903,
Serbia,Exp_plomo_2,74210.80395556001,
Serbia,Pepticidas_log,12.426066842831045,
Belarus,Contaminacion_aire,0.3019003,
Belarus,Exp_plomo,283.93698,
Belarus,Muertes_agua,4.3757954,
Belarus,Pepticidas,9186.0,
Belarus,Precipitaciones,923.494,
Belarus,Muertes_agua_2,19.147585382661163,
Belarus,Exp_plomo_2,80620.2086115204,
Belarus,Pepticidas_log,12.461562489064152,
Estonia,Contaminacion_aire,0.1901441,
Estonia,Exp_plomo,162.21346,
Estonia,Muertes_agua,0.46720752,
Estonia,Pepticidas,459330.5,
Estonia,Precipitaciones,935.0709,
Estonia,Muertes_agua_2,0.21828286674455039,
Estonia,Exp_plomo_2,26313.2066051716,
Estonia,Pepticidas_log,12.470260553840271,
Latvia,Contaminacion_aire,0.24607687,
Latvia,Exp_plomo,166.3286,
Latvia,Muertes_agua,0.7893696,
Latvia,Pepticidas,732.24,
Latvia,Precipitaciones,1578.9829,
Latvia,Muertes_agua_2,0.62310436540416,
Latvia,Exp_plomo_2,27665.203177959997,
Latvia,Pepticidas_log,12.511798225404226,
Poland,Contaminacion_aire,0.87785554,
Poland,Exp_plomo,183.64568,
Poland,Muertes_agua,290.7902,
Poland,Pepticidas,218.6,
Poland,Precipitaciones,1179.969,
Poland,Muertes_agua_2,84558.94041604002,
Poland,Exp_plomo_2,33725.7357826624,
Poland,Pepticidas_log,12.560182702957942,
