Año,País,Parkinson,Tasa_contaminacion_Aire,Exp_Plomo,Pesticidas,Nitratos,Usuarios_Internet
2011,Bosnia and Herzegovina,164.38062,1.627922,392.09995,984.42,1.8954331,16321461.0
2012,Bosnia and Herzegovina,168.4838,1.7326188,378.62595,1186.21,8.01951,16730596.0
2013,Bosnia and Herzegovina,171.80362,1.7698632,375.7677,1428.99,8.01951,17548312.0
2017,Bosnia and Herzegovina,184.98701,1.297764,359.2846,76053.0,10.131062,2019.62
2018,Bosnia and Herzegovina,188.44058,1.5423126,353.79248,84748.0,8.573149,14122.546
2019,Bosnia and Herzegovina,191.65004,1.5893464,357.5773,93444.0,8.187283,60454.098
2020,Bosnia and Herzegovina,194.7708,1.6150746,354.41782,102139.0,2.9666667,161028.4
2021,Bosnia and Herzegovina,191.91708,1.5376102,329.20108,110835.0,14.736399,999026600.0
1992,Estonia,152.94778,0.43317235,250.4104,4128.1,20.332825,5175152.5
1993,Estonia,157.20903,0.42389977,271.02728,4128.1,23.892973,5618576.0
1994,Estonia,161.12439,0.3703178,295.0702,4128.1,23.264898,6601076.5
1995,Estonia,164.44806,0.37011057,280.89618,4128.1,23.436901,6821426.0
1998,Estonia,167.7609,0.32982916,259.2107,4128.1,20.964695,193.52298
1999,Estonia,167.81163,0.28369054,252.33699,4128.1,20.711847,2416.9863
2000,Estonia,169.27095,0.34222272,252.14584,4128.1,21.389093,9668.707
2001,Estonia,174.01141,0.37652504,261.81134,4128.1,21.053389,7479360.5
2002,Estonia,182.12874,0.4271599,258.70874,1275.29,21.150293,8197566.0
2003,Estonia,191.71967,0.39874956,253.39726,1037.32,20.984608,9517068.0
2008,Estonia,222.39534,0.25829872,247.18973,481403.1,21.29869,88.81153
2009,Estonia,226.50818,0.2789283,243.60849,463475.4,21.111246,1890.9451
2010,Estonia,229.939,0.29969674,227.3534,458332.66,20.521397,5224.323
2011,Estonia,231.0022,0.32954538,227.64873,458829.6,20.331215,10363.419
2012,Estonia,229.65904,0.309983,224.1105,475181.4,20.47221,20509.494
2013,Estonia,226.15997,0.28726596,215.03104,477347.6,20.750708,71758.12
2014,Estonia,221.85512,0.28047022,214.54405,466512.03,21.171936,103639.54
2015,Estonia,219.17413,0.26172483,204.46481,446629.62,21.39475,156709.39
2016,Estonia,217.2122,0.22205526,204.32361,438299.38,21.498537,262213.47
2017,Estonia,215.77986,0.17666559,186.06174,449523.12,20.492918,315012.9
2018,Estonia,215.05519,0.22481193,180.07556,427200.9,21.242485,420091.9
2019,Estonia,216.16324,0.2020447,169.70276,442057.44,22.227194,472928.97
2020,Estonia,234.41371,0.19564846,167.56021,459330.5,21.603651,526328.9
2021,Estonia,228.03111,0.1901441,162.21346,437589.53,23.710936,14519.542
1992,Latvia,138.20218,0.52773076,268.5407,140.57,13.525753,12284.136
1993,Latvia,142.0285,0.5822125,312.84525,91.65,14.774716,12703.65
1994,Latvia,144.81349,0.5600445,345.2546,166.04,14.8817215,21401.715
1995,Latvia,146.55624,0.5995207,323.86737,265.7,15.812021,22691.0
1996,Latvia,147.70926,0.5330596,278.86356,357.02,15.756393,268562.28
1997,Latvia,147.93037,0.42760578,265.8939,140.55,15.127255,416523.16
1998,Latvia,147.75563,0.35832098,275.27612,139.81,15.40035,446498.75
1999,Latvia,147.90704,0.30961072,260.668,138.33,16.121983,848297.6
2000,Latvia,149.4901,0.35224408,256.69583,136.84,15.946305,976792.8
2001,Latvia,152.99164,0.35696128,272.49673,135.36,16.618164,31593.438
2002,Latvia,157.2849,0.3599279,271.59415,129.13,15.800182,35111.176
2003,Latvia,162.23901,0.32794365,265.77313,122.63,17.95703,37432.477
2004,Latvia,166.94798,0.288309,261.20905,110.31,19.290348,38947.13
2005,Latvia,170.61893,0.27846602,270.34183,96.9,20.065752,41886.78
2006,Latvia,172.39517,0.25539666,281.61124,78.68,5.276154,46871.22
2007,Latvia,172.38292,0.28265774,275.4883,67.92,5.276154,51462.434
2008,Latvia,172.07755,0.25975072,252.68893,63.19,5.4353704,53644.71
2009,Latvia,172.3516,0.2502195,238.76913,63.7,5.0615153,58191.812
2010,Latvia,174.44707,0.254846,234.08324,84.04,3.3635714,62073.496
2011,Latvia,178.29973,0.3239839,224.26709,112.58,5.5839043,66083.125
2012,Latvia,183.01675,0.35448667,215.7152,175.28,6.2755404,80652.15
2013,Latvia,188.04416,0.36743206,212.67102,297.78,3.9510858,87959.766
2014,Latvia,192.79208,0.30472362,202.49529,382.15,4.4954476,90788.69
2015,Latvia,197.18556,0.30559692,193.84277,424.91,4.067119,100359.48
2021,Latvia,216.22238,0.24607687,166.3286,793.93,10.69742,1193621.5
