Año,País,Nitratos
2006,Ireland,22.870556
2007,Ireland,26.224226
2008,Ireland,26.090744
2009,Ireland,26.335289
2010,Ireland,23.34158
2011,Ireland,18.069689
2012,Ireland,23.225521
2013,Ireland,20.444134
2014,Ireland,24.149868
2015,Ireland,24.454096
2016,Ireland,23.961048
2017,Ireland,21.802803
2018,Ireland,23.370207
2019,Ireland,24.08731
2020,Ireland,22.052563
2021,Ireland,20.938387
1992,Italy,19.896555
1993,Italy,25.240425
1994,Italy,19.568165
1995,Italy,9.954062
1996,Italy,9.954062
1997,Italy,18.606647
1998,Italy,20.529444
1999,Italy,20.529444
2000,Italy,5.3566313
2001,Italy,5.3566313
2002,Italy,4.3972983
2003,Italy,4.6805053
2004,Italy,4.6972528
2005,Italy,3.4692914
2006,Italy,4.6970987
2007,Italy,5.274468
2008,Italy,5.987703
2009,Italy,5.1378045
2010,Italy,5.2633147
2011,Italy,8.565526
2012,Italy,7.939756
2013,Italy,7.7
2014,Italy,9.093049
2015,Italy,8.0112915
2016,Italy,8.4812765
2017,Italy,11.257018
2018,Italy,12.155564
2019,Italy,8.788999
2020,Italy,8.738043
2021,Italy,9.265189
1992,Kosovo,12.360955
1993,Kosovo,11.812884
1994,Kosovo,11.913353
1995,Kosovo,12.345275
1996,Kosovo,9.034778
1997,Kosovo,9.126006
1998,Kosovo,8.585844
1999,Kosovo,8.618248
2000,Kosovo,21.448334
2001,Kosovo,21.448334
2002,Kosovo,25.024412
2003,Kosovo,25.024412
2004,Kosovo,58.773285
2005,Kosovo,55.72653
2006,Kosovo,36.667522
2007,Kosovo,21.325085
2008,Kosovo,19.396767
2009,Kosovo,27.567896
2010,Kosovo,27.196777
2011,Kosovo,24.562876
2012,Kosovo,26.215387
2013,Kosovo,17.31438
2014,Kosovo,18.698936
2015,Kosovo,18.122791
2016,Kosovo,17.25347
2017,Kosovo,16.254179
2018,Kosovo,16.982618
2019,Kosovo,16.28158
2020,Kosovo,16.56028
2021,Kosovo,14.697632
1992,Latvia,13.525753
1993,Latvia,14.774716
1994,Latvia,14.8817215
1995,Latvia,15.812021
1996,Latvia,15.756393
1997,Latvia,15.127255
1998,Latvia,15.40035
1999,Latvia,16.121983
2000,Latvia,15.946305
2001,Latvia,16.618164
2002,Latvia,15.800182
2003,Latvia,17.95703
2004,Latvia,19.290348
2005,Latvia,20.065752
2006,Latvia,5.276154
2007,Latvia,5.276154
2008,Latvia,5.4353704
2009,Latvia,5.0615153
2010,Latvia,3.3635714
2011,Latvia,5.5839043
2012,Latvia,6.2755404
2013,Latvia,3.9510858
2014,Latvia,4.4954476
2015,Latvia,4.067119
2016,Latvia,2.5275588
2017,Latvia,2.5457895
2018,Latvia,2.696747
2019,Latvia,5.1916924
2020,Latvia,8.123782
2021,Latvia,10.69742
1992,Liechtenstein,16.237642
1993,Liechtenstein,10.738553
1994,Liechtenstein,8.354843
1995,Liechtenstein,9.380673
1996,Liechtenstein,11.796346
1997,Liechtenstein,11.796346
1998,Liechtenstein,16.834803
1999,Liechtenstein,16.834803
2000,Liechtenstein,14.895931
2001,Liechtenstein,14.466238
2002,Liechtenstein,15.018695
2003,Liechtenstein,14.991328
2004,Liechtenstein,17.027424
2005,Liechtenstein,16.845985
2006,Liechtenstein,17.008896
2007,Liechtenstein,17.05683
2008,Liechtenstein,19.697828
2009,Liechtenstein,17.841139
2010,Liechtenstein,18.342005
2011,Liechtenstein,18.599737
2012,Liechtenstein,15.916031
2013,Liechtenstein,19.487608
2014,Liechtenstein,18.862581
2015,Liechtenstein,17.04592
2016,Liechtenstein,16.286339
2017,Liechtenstein,15.146489
2018,Liechtenstein,15.881583
2019,Liechtenstein,15.655723
2020,Liechtenstein,20.443571
2021,Liechtenstein,20.443571
1992,Lithuania,23.766897
1993,Lithuania,23.766897
1994,Lithuania,22.138083
1995,Lithuania,21.073833
1996,Lithuania,22.298388
