País,GLM,RF,XG,SVR,KNN,MLP,Parkinson_Predicho_Promedio
Burkina Faso,25.07,23.29,23.11,23.24,23.52,25.5,23.96
Cape Verde,65.89,41.68,45.42,48.3,45.92,65.23,52.07
Cameroon,27.4,23.42,23.1,23.35,22.32,26.38,24.33
Chad,18.7,19.09,18.88,20.59,18.56,18.99,19.14
Cote d'Ivoire,27.56,18.56,19.55,19.48,17.59,27.95,21.78
Gambia,26.08,24.34,23.7,23.01,25.61,29.45,25.36
Ghana,28.48,21.31,23.21,22.98,22.32,29.14,24.57
Guinea,26.91,29.83,29.83,29.7,29.76,27.38,28.9
Guinea-Bissau,16.86,19.11,19.05,19.06,18.39,20.76,18.87
Liberia,23.08,26.42,24.31,25.04,21.15,22.7,23.78
Mali,18.84,20.35,19.87,19.8,20.3,20.57,19.95
Mauritania,31.92,27.58,27.31,28.59,26.74,32.51,29.11
Niger,17.22,15.31,15.52,15.98,15.22,24.25,17.25
Nigeria,25.12,24.36,24.14,24.85,25.36,27.35,25.2
Sao Tome and Principe,37.17,33.61,33.31,32.96,34.85,37.55,34.91
Senegal,36.16,23.75,25.41,27.13,23.27,33.38,28.18
Sierra Leone,23.7,23.36,23.12,24.15,22.58,30.7,24.6
Togo,30.93,20.16,20.87,18.86,20.34,25.05,22.7
Cook Islands,164.04,66.42,62.25,86.44,72.29,160.57,102.0
Greenland,140.18,56.68,58.13,73.04,59.95,129.33,86.22
Sudan,34.22,30.73,31.93,31.94,31.79,36.22,32.8
