Parkinson,Contaminacion_aire,Exp_plomo,Muertes_agua,Pesticidas,Precipitaciones
31.021044,0.080226906,753.30524,56.59513,34.18,4369.703
30.940758,0.097891085,738.77704,57.194626,40.81,3867.5999
30.805151,0.093333066,721.5837,55.77013,36.33,3738.6538
30.731688,0.105748,730.1132,55.78623,44.68,3946.3718
30.808943,0.059628572,717.6605,55.393906,54.24,3715.6409
31.181866,0.04908271,734.28,55.17308,66.45,3448.5093
31.840765,0.035782315,732.54065,53.803295,72.25,4213.7817
32.62188,0.035977837,729.02484,53.905327,72.31,4462.305
33.369034,0.04773955,728.88837,53.459694,64.16,4124.7036
33.900597,0.04659889,720.0384,54.600697,60.1,4072.8127
34.260284,0.047320925,704.0185,53.747627,63.38,4214.0435
34.595726,0.003345666,702.51294,52.93896,65.18,4296.91
34.988583,0.031300873,697.9189,51.91434,54.8,4450.3906
35.52815,0.028444577,695.04767,51.098446,39.65,4109.2793
37.311638,0.027162395,689.39606,48.67007,39.65,4323.85
35.974056,0.023011552,672.9419,48.00437,39.65,4375.5884
40.657284,1.138568,206.27174,9285.471,18849.0,1567.8008
41.85017,1.2616533,209.59595,8594.694,18849.0,1597.0621
43.083458,1.2919048,210.89232,7877.496,18849.0,1503.5433
44.36377,1.4218976,213.14598,7229.4062,18849.0,1441.0209
45.70572,1.3666697,214.08829,6648.4775,20448.0,1806.878
47.152317,1.3942621,214.2071,6079.271,24062.0,1767.7208
48.871143,1.3998166,215.25226,5580.22,23621.5,1815.7355
50.932533,1.4743742,201.56808,5148.999,23960.0,1492.8912
53.183025,1.3769112,204.72581,4984.069,19212.0,1425.8633
55.47295,1.2049172,209.32239,4882.889,22761.0,1931.7089
57.69579,0.7941362,208.08124,4809.213,20334.0,1927.4663
59.845463,0.9536072,202.21863,4502.0757,30629.67,1713.444
61.988407,1.0691166,206.69882,4373.3994,40925.33,1749.2472
64.16734,1.7905847,205.56418,4229.243,51221.0,1490.1594
66.473595,1.8405172,205.27605,4146.6055,65626.5,1398.3904
69.03235,1.7942319,200.93068,4029.758,43831.0,1609.8585
72.28198,1.6658164,192.30995,3996.9211,41220.0,1694.79
76.31822,1.7129406,184.37672,3957.3774,66858.0,1755.4893
79.939445,1.6893471,176.2374,3906.3057,65423.0,1785.1581
82.64072,1.3259177,167.40906,3853.99,67933.0,1628.5931
86.703995,1.693807,162.69673,3840.464,68986.0,1662.5453
92.71962,1.9790642,154.79428,3778.6826,87191.0,1931.9321
98.233795,2.08736,148.14903,3735.8667,69921.0,1625.0583
103.03495,1.8647473,142.617,3764.6914,8136.0,1679.5256
